;origem;destino;caminho
0;3804;3804;['3804']
1;3804;3772;['3804', '26150', '45004', '3772']
2;3804;4310;['3804', '44135', '4310']
3;3804;5558;['3804', '26150', '5558']
4;3804;5715;['3804', '44135', '15969', '5715']
5;3804;6129;['3804', '39740', '6129']
6;3804;7326;['3804', '44135', '15969', '7326']
7;3804;7273;['3804', '44135', '7273']
8;3804;7961;['3804', '26150', '45004', '7961']
9;3804;29672;['3804', '18087', '29675', '29672']
10;3804;9111;['3804', '14398', '9111']
11;3804;9718;['3804', '44135', '9718']
12;3804;9783;['3804', '16475', '9783']
13;3804;9784;['3804', '44135', '4310', '9784']
14;3804;10836;['3804', '10836']
15;3804;10890;['3804', '10890']
16;3804;11849;['3804', '14398', '11849']
17;3804;12518;['3804', '14398', '12518']
18;3804;13323;['3804', '13323']
19;3804;13648;['3804', '16475', '13648']
20;3804;13802;['3804', '16475', '48254', '13802']
21;3804;14398;['3804', '14398']
22;3804;15969;['3804', '44135', '15969']
23;3804;15962;['3804', '15962']
24;3804;15711;['3804', '26150', '45004', '15711']
25;3804;16475;['3804', '16475']
26;3804;17076;['3804', '17076']
27;3804;17079;['3804', '17079']
28;3804;18087;['3804', '18087']
29;3804;18090;['3804', '44135', '15969', '45267', '18090']
30;3804;18192;['3804', '18192']
31;3804;20325;['3804', '44135', '15969', '20325']
32;3804;26145;['3804', '18192', '26145']
33;3804;26150;['3804', '26150']
34;3804;27891;['3804', '44135', '27891']
35;3804;27886;['3804', '27886']
36;3804;28747;['3804', '43962', '28747']
37;3804;28560;['3804', '28560']
38;3804;28564;['3804', '18087', '29675', '35833', '28564']
39;3804;28629;['3804', '44135', '44971', '28629']
40;3804;28536;['3804', '16475', '48254', '28536']
41;3804;28640;['3804', '28640']
42;3804;28549;['3804', '28549']
43;3804;28634;['3804', '28634']
44;3804;28649;['3804', '44135', '4310', '28649']
45;3804;28745;['3804', '18087', '29675', '28745']
46;3804;29670;['3804', '29670']
47;3804;29669;['3804', '18087', '29675', '29669']
48;3804;29679;['3804', '29679']
49;3804;29675;['3804', '18087', '29675']
50;3804;29680;['3804', '39736', '29680']
51;3804;29678;['3804', '16475', '29678']
52;3804;29677;['3804', '18087', '29675', '35833', '29677']
53;3804;29676;['3804', '39740', '29676']
54;3804;29673;['3804', '29673']
55;3804;29674;['3804', '16475', '29674']
56;3804;29671;['3804', '18087', '29675', '29671']
57;3804;29681;['3804', '29681']
58;3804;29716;['3804', '15962', '29716']
59;3804;32356;['3804', '13323', '781', '32356']
60;3804;32285;['3804', '16475', '45262', '32285']
61;3804;33013;['3804', '16475', '33013']
62;3804;34557;['3804', '16475', '45748', '34557']
63;3804;35600;['3804', '18087', '35600']
64;3804;35867;['3804', '39740', '35867']
65;3804;35776;['3804', '39740', '35800', '35776']
66;3804;35613;['3804', '35613']
67;3804;35814;['3804', '16475', '48254', '35814']
68;3804;35727;['3804', '44720', '35727']
69;3804;35856;['3804', '16475', '35856']
70;3804;35777;['3804', '16475', '35777']
71;3804;35800;['3804', '39740', '35800']
72;3804;35603;['3804', '18087', '29675', '35833', '35603']
73;3804;35861;['3804', '16475', '48254', '35861']
74;3804;35601;['3804', '18087', '29675', '35601']
75;3804;35833;['3804', '18087', '29675', '35833']
76;3804;39810;['3804', '44135', '15969', '39810']
77;3804;39800;['3804', '14398', '39800']
78;3804;39733;['3804', '44135', '39733']
79;3804;39812;['3804', '18087', '39812']
80;3804;39811;['3804', '39811']
81;3804;39799;['3804', '43962', '39799']
82;3804;39729;['3804', '39740', '39729']
83;3804;39744;['3804', '39744']
84;3804;39731;['3804', '17079', '39731']
85;3804;39753;['3804', '44135', '15969', '39753']
86;3804;39742;['3804', '16475', '9783', '39742']
87;3804;39749;['3804', '39749']
88;3804;39730;['3804', '18087', '39730']
89;3804;39870;['3804', '18087', '29675', '39870']
90;3804;39750;['3804', '46710', '39750']
91;3804;39737;['3804', '18087', '29675', '39737']
92;3804;39767;['3804', '16475', '48254', '39767']
93;3804;39739;['3804', '39739']
94;3804;39728;['3804', '39740', '39728']
95;3804;39743;['3804', '39743']
96;3804;39745;['3804', '44135', '39745']
97;3804;39740;['3804', '39740']
98;3804;39752;['3804', '39752']
99;3804;39751;['3804', '14398', '43791', '39751']
100;3804;39894;['3804', '44135', '15969', '39894']
101;3804;39732;['3804', '44135', '39732']
102;3804;39910;['3804', '16475', '45748', '39910']
103;3804;39734;['3804', '44135', '39734']
104;3804;39765;['3804', '14398', '39765']
105;3804;39736;['3804', '39736']
106;3804;39735;['3804', '44135', '39735']
107;3804;39738;['3804', '39740', '39738']
108;3804;39766;['3804', '10836', '39766']
109;3804;39746;['3804', '44135', '15969', '39746']
110;3804;39741;['3804', '43962', '39741']
111;3804;39747;['3804', '44135', '39747']
112;3804;39748;['3804', '39749', '39748']
113;3804;39764;['3804', '39740', '39764']
114;3804;39754;['3804', '14398', '39754']
115;3804;42481;['3804', '42481']
116;3804;42483;['3804', '18087', '29675', '42483']
117;3804;42480;['3804', '26150', '42480']
118;3804;42482;['3804', '18087', '42482']
119;3804;43247;['3804', '44135', '15969', '43247']
120;3804;43965;['3804', '44135', '7273', '43965']
121;3804;43963;['3804', '44135', '15969', '43963']
122;3804;43964;['3804', '44135', '44971', '28629', '43964']
123;3804;43962;['3804', '43962']
124;3804;43791;['3804', '14398', '43791']
125;3804;43790;['3804', '43790']
126;3804;44114;['3804', '16475', '44114']
