;de;para;distancia
0;3469;28103;1.994
1;3469;44285;1.047
2;3469;46119;0.857
3;3889;43135;2.24
4;3889;43150;1.662
5;3865;44412;1.448
6;3891;42783;2.2
7;3891;47922;0.0
8;3866;38236;3.418
9;3866;42779;3.362
10;3866;47515;2.512
11;3961;47964;2.091
12;3961;47913;3.331
13;3890;16741;3.084
14;3890;43104;1.309
15;3890;46354;3.178
16;3887;43020;1.5
17;3887;47647;0.809
18;3868;38644;1.763
19;3868;43005;1.367
20;3999;44846;0.701
21;4709;32498;2.004
22;4709;43143;1.313
23;5309;43083;1.157
24;5309;43043;1.887
25;6971;28044;2.252
26;6971;38295;1.136
27;6971;43112;1.137
28;6971;44414;2.325
29;7015;28143;0.794
30;7015;38252;1.666
31;7015;43095;1.213
32;6948;38484;2.169
33;6948;43125;1.136
34;8694;38111;0.829
35;8694;44558;1.017
36;9368;43555;6.045
37;9368;44019;1.16
38;9274;43053;2.54
39;9274;44254;3.81
40;9274;47925;2.348
41;9876;38573;1.989
42;9876;43060;1.189
43;9876;44406;1.224
44;11000;38067;0.853
45;11000;42783;1.936
46;11619;28142;1.659
47;11619;38395;2.355
48;12229;42782;1.211
49;12229;47918;0.0
50;12730;15597;1.807
51;13179;38395;2.14
52;13113;18346;2.599
53;13252;32098;1.668
54;13252;47922;2.446
55;13344;28579;2.014
56;13344;43067;2.764
57;13344;43140;1.28
58;13260;43847;2.511
59;13862;15095;1.882
60;13862;43120;2.701
61;15149;32095;2.07
62;15095;13862;1.823
63;15597;12730;1.762
64;15597;43018;1.56
65;15597;43006;2.217
66;16159;36143;2.455
67;16159;44404;0.683
68;16742;28579;2.73
69;16742;43129;2.338
70;16741;3890;3.195
71;17805;44018;2.064
72;17805;44019;9.2
73;17805;47920;0.0
74;18346;13113;2.694
75;18346;43124;2.901
76;18562;43087;2.406
77;18562;43149;1.913
78;28042;32873;0.596
79;28042;47566;2.116
80;28123;44059;1.47
81;28123;44558;1.664
82;28123;45339;0.869
83;28085;28127;1.419
84;28085;32818;1.083
85;28130;28127;1.432
86;28130;43100;2.475
87;28067;28070;1.046
88;28067;28071;1.729
89;28067;44419;1.969
90;28110;42785;1.328
91;28110;43100;1.994
92;28131;38297;1.816
93;28131;48660;1.201
94;28088;38386;6.038
