;de;para;distancia
0;3804;14398;3,69
1;3772;43965;2,45
2;3772;45004;1,14
3;4310;28649;3,04
4;4310;44971;5,29
5;5558;42480;2,35
6;5558;45004;3,00
7;5715;45267;2,27
8;6129;39764;6,13
9;6129;46243;6,61
10;7326;43247;1,27
11;7273;39735;0,51
12;7273;43965;0,82
13;7961;15711;4,76
14;7961;902;2,95
15;29672;28745;2,99
16;29672;39742;5,82
17;29672;42483;2,98
18;29672;45265;2,14
19;29672;49994;2,33
20;9111;43965;3,58
21;9111;46715;0,41
22;9111;50978;2,58
23;9718;17079;3,57
24;9718;39733;4,42
25;9718;39734;3,34
26;9783;29678;1,94
27;9783;33013;7,73
28;9783;35856;0,26
29;9784;28649;0,40
30;10836;45281;1,75
31;10890;39739;5,61
32;10890;50972;4,99
33;11849;14398;1,94
34;11849;29681;6,13
35;12518;39800;1,99
36;13323;44387;4,37
37;13323;46270;3,45
38;13648;16475;3,21
39;13648;29674;3,04
40;13648;35856;2,94
41;13648;35777;3,13
42;13648;46256;5,01
43;13802;35814;3,86
44;13802;48254;10,39
45;14398;3804;3,26
46;14398;11849;2,30
47;14398;17076;2,12
48;14398;43790;3,33
49;15969;39753;0,66
50;15962;29716;1,17
51;15962;45957;2,42
52;15711;7961;4,47
53;15711;39800;1,28
54;16475;13648;3,51
55;16475;39730;5,69
56;17076;14398;2,13
57;17076;18192;1,91
58;17079;9718;3,99
59;17079;27886;0,00
60;17079;39731;3,92
61;18087;28549;1,23
62;18087;29675;4,10
63;18090;43964;2,47
64;18090;45267;5,87
65;18192;17076;2,25
66;18192;29679;0,49
67;18192;39749;1,09
68;20325;39810;2,08
69;20325;43963;2,39
70;26145;44915;2,68
71;26150;39748;3,59
72;26150;46155;1,18
73;26150;46709;1,13
74;27891;39753;2,14
75;27891;39732;1,23
76;27891;39746;2,38
77;27886;17079;0,00
78;28747;45723;3,65
79;28560;29680;3,63
80;28560;39736;1,13
81;28560;46074;3,07
82;28564;29669;13,81
83;28564;39799;8,83
84;28564;39741;4,48
85;28629;39745;4,90
86;28629;43964;3,28
87;28536;50918;2,95
88;28640;28634;1,68
89;28549;18087;1,23
90;28549;44770;2,24
91;28634;28640;0,66
92;28634;50383;2,80
93;28649;4310;3,18
94;28649;9784;0,40
95;28745;29672;2,38
96;28745;29677;2,18
97;29670;44811;7,23
98;29669;28564;5,80
99;29669;35603;2,84
100;29669;39737;1,41
101;29679;18192;0,50
102;29679;39748;2,08
103;29679;43791;3,65
104;29675;18087;3,74
105;29675;42482;1,51
106;29680;28560;3,02
107;29678;9783;2,09
108;29678;45957;0,94
109;29677;28745;2,46
110;29677;35833;1,46
111;29676;35800;2,68
112;29673;35776;3,98
113;29674;13648;1,66
114;29674;50274;2,89
115;29671;39737;4,66
116;29671;44974;2,58
117;29681;11849;6,52
118;29681;1988;1,26
119;29716;15962;1,74
120;29716;44951;2,60
121;29716;927;0,98
122;32356;35727;6,67
123;32285;45262;0,47
124;33013;9783;4,59
125;34557;39910;1,84
126;34557;45262;4,95
127;35600;39812;3,00
128;35600;50383;2,96
129;35867;35800;3,02
130;35867;39910;3,63
131;35776;29673;3,12
132;35776;45917;4,33
133;35613;44795;3,68
134;35814;13802;3,06
135;35814;35861;3,18
136;35727;32356;5,37
137;35727;39812;1,74
138;35727;44720;1,58
139;35856;9783;0,70
140;35856;13648;2,63
141;35856;47819;3,43
142;35777;13648;1,81
143;35777;44114;0,44
144;35800;29676;1,42
145;35800;35867;2,57
146;35800;45917;3,44
147;35800;46176;3,73
148;35800;835;6,74
149;35603;29669;2,76
150;35603;45877;3,76
151;35603;45715;3,62
152;35861;35814;1,37
153;35861;39767;3,45
154;35601;44974;1,46
155;35601;45265;3,15
156;35601;46189;3,37
157;35833;29677;0,98
158;39810;20325;2,13
159;39810;39894;1,18
160;39810;1992;0,58
161;39800;12518;1,99
162;39800;15711;1,28
163;39733;9718;3,91
164;39733;50976;3,49
165;39812;35600;2,65
166;39812;35727;1,74
167;39811;45281;2,26
168;39799;28564;6,01
169;39729;39728;3,07
170;39729;45144;0,94
171;39729;44910;2,81
172;39744;39743;4,50
173;39731;17079;4,25
174;39753;15969;1,45
175;39753;27891;1,43
176;39742;29672;3,42
177;39742;46758;2,82
178;39749;18192;1,50
179;39749;44135;0,63
180;39730;16475;1,67
181;39870;46189;3,45
182;39750;46709;6,79
183;39750;48330;2,77
184;39737;29669;1,29
185;39737;29671;4,19
186;39767;35861;3,33
187;39767;50918;3,88
188;39739;10890;5,52
189;39739;46036;1,02
190;39728;39729;2,86
191;39728;39740;5,42
192;39743;39744;4,50
193;39743;39745;12,59
194;39745;28629;6,21
195;39745;39743;12,16
196;39745;44971;3,94
197;39740;39728;4,00
198;39740;44770;1,10
199;39740;46270;3,88
200;39752;43790;4,82
201;39751;43791;1,24
202;39751;44914;1,09
203;39894;39810;1,17
204;39894;43247;2,99
205;39732;27891;1,74
206;39732;45274;1,43
207;39910;34557;1,73
208;39910;35867;3,30
209;39734;9718;2,79
210;39734;45273;3,51
211;39734;48331;2,79
212;39765;50978;4,98
213;39736;28560;1,16
214;39736;44692;1,20
215;39736;45275;4,67
216;39736;50972;2,39
217;39735;7273;0,51
218;39735;45274;2,09
219;39738;44910;1,99
220;39738;50972;2,35
221;39766;44974;3,48
222;39746;27891;2,25
223;39746;43963;2,21
224;39741;28564;4,10
225;39741;45723;1,44
226;39747;48330;1,02
227;39748;26150;2,79
228;39748;29679;2,21
229;39748;44915;1,93
230;39764;6129;2,80
231;39754;50976;0,80
232;42481;45993;6,90
233;42483;29672;2,42
234;42480;5558;2,14
235;42480;2171;1,25
236;42482;29675;1,45
237;42482;45281;1,11
238;43247;7326;0,80
239;43247;39894;1,92
240;43247;45913;5,49
241;43965;3772;2,10
242;43965;7273;1,94
243;43965;9111;3,73
244;43963;20325;2,39
245;43963;39746;1,96
246;43964;18090;2,49
247;43964;28629;3,35
248;43962;45993;6,71
249;43962;50547;4,51
250;43791;29679;2,86
251;43791;39751;1,34
252;43790;14398;2,78
253;43790;39752;3,46
254;44114;35777;0,44
255;44114;45748;0,17
256;44135;39749;2,03
257;44135;45586;2,61
258;44387;13323;4,54
259;44387;50547;6,22
260;44387;203;2,56
261;44795;35613;3,63
262;44795;835;3,13
263;44770;28549;3,13
264;44770;39740;1,62
265;44720;35727;1,58
266;44486;45275;1,12
267;44692;39736;0,71
268;44842;44843;0,44
269;44915;26145;2,88
270;44915;39748;1,62
271;44915;46710;2,14
272;44974;29671;2,00
273;44974;35601;1,74
274;44974;39766;1,84
275;44971;4310;3,83
276;44971;39745;4,62
277;45144;39729;0,76
278;44914;39751;1,18
279;45004;3772;1,10
280;45004;5558;3,00
281;44951;29716;0,53
282;44951;50383;3,88
283;44811;29670;7,21
284;44811;45993;3,84
285;44837;44843;0,36
286;44837;48254;0,85
287;44843;44842;0,44
288;44843;44837;0,36
289;44843;44836;4,63
290;44843;45262;1,16
291;44812;50547;6,91
292;44910;39729;2,71
293;44910;39738;1,99
294;44836;44843;3,04
295;44836;46758;5,66
296;44836;47819;4,01
297;45262;32285;0,47
298;45262;34557;2,48
299;45262;44843;1,14
300;45274;39732;1,25
301;45274;39735;2,13
302;45274;48331;1,12
303;45273;39734;3,42
304;45265;29672;0,53
305;45265;35601;1,76
306;45265;48061;1,85
307;45275;39736;2,62
308;45275;44486;2,45
309;45281;10836;2,29
310;45281;39811;1,41
311;45281;42482;1,96
312;45281;45957;2,76
313;45267;5715;2,03
314;45267;18090;5,40
315;45267;902;2,89
316;45586;44135;2,75
317;45877;35603;3,47
318;45715;35603;2,47
319;45917;35776;2,84
320;45917;35800;3,52
321;45913;43247;3,60
322;45913;902;2,93
323;45727;45723;8,56
324;45748;44114;0,17
325;45723;28747;2,61
326;45723;39741;1,44
327;45723;45727;1,07
328;45993;42481;7,11
329;45993;43962;8,70
330;45993;44811;3,84
331;45957;15962;1,77
332;45957;29678;1,48
333;45957;45281;2,50
334;46176;35800;2,92
335;46036;39739;0,88
336;46074;28560;3,07
337;46074;48510;0,31
338;46256;13648;1,99
339;46172;46708;0,94
340;46066;781;5,25
341;46189;35601;1,94
342;46189;39870;1,98
343;46155;26150;1,08
344;46155;46708;0,47
345;46270;13323;3,54
346;46270;39740;3,59
347;46243;6129;2,27
348;46243;50274;0,47
349;46708;46172;0,96
350;46708;46155;0,47
351;46710;44915;2,13
352;46709;26150;1,24
353;46709;39750;2,92
354;46715;9111;0,41
355;46758;39742;2,27
356;46758;44836;3,11
357;46758;46724;37,25
358;46724;46758;38,89
359;47819;35856;1,14
360;47819;44836;2,69
361;48331;39734;2,84
362;48331;45274;1,10
363;48254;13802;5,72
364;48254;44837;0,85
365;48330;39750;2,79
366;48330;39747;1,02
367;48330;50976;4,09
368;48061;45265;0,22
369;48187;1988;6,90
370;48510;46074;0,31
371;48510;50974;6,77
372;50973;203;1,79
373;50973;781;2,92
374;50917;50918;0,81
375;50974;48510;7,19
376;50976;39733;3,47
377;50976;39754;0,80
378;50976;48330;3,96
379;50918;28536;1,93
380;50918;39767;3,45
381;50918;50917;0,99
382;50972;10890;2,58
383;50972;39736;2,39
384;50972;39738;2,68
385;50972;1988;5,15
386;49994;29672;3,16
387;50547;43962;2,86
388;50547;44387;5,23
389;50547;44812;6,79
390;50978;9111;4,95
391;50978;39765;5,07
392;50383;28634;2,19
393;50383;35600;2,50
394;50383;44951;1,65
395;50274;29674;2,88
396;50274;46243;0,47
397;50952;203;7,35
398;203;44387;1,86
399;203;50973;1,79
400;203;50952;4,86
401;267;1988;1,84
402;781;46066;5,24
403;781;50973;2,93
404;927;29716;1,76
405;1992;39810;0,58
406;2171;42480;1,25
407;835;35800;3,95
408;835;44795;2,86
409;902;7961;2,85
410;902;45267;2,86
411;902;45913;3,03
412;1988;29681;0,99
413;1988;48187;2,45
414;1988;50972;2,59
415;1988;267;1,84
