;origem;destino;distancia
0;3804;3804;0,00
1;3804;43790;2,28
2;3804;39752;2,68
3;3804;14398;3,69
4;3804;44135;4,26
5;3804;45586;5,05
6;3804;39749;5,06
7;3804;17076;5,53
8;3804;18192;5,90
9;3804;11849;5,99
10;3804;29679;6,26
11;3804;39748;7,52
12;3804;46270;8,27
13;3804;43791;8,41
14;3804;26150;8,81
15;3804;44915;8,91
16;3804;39740;9,05
17;3804;46710;9,10
18;3804;13323;9,18
19;3804;44812;9,25
20;3804;46155;9,41
21;3804;44770;9,45
22;3804;29681;9,58
23;3804;46708;9,62
24;3804;39751;9,75
25;3804;44914;9,86
26;3804;46709;9,88
27;3804;50547;9,94
28;3804;43962;10,15
29;3804;26145;10,17
30;3804;1988;10,41
31;3804;28549;10,56
32;3804;46172;10,57
33;3804;18087;10,91
34;3804;48187;11,71
35;3804;50972;11,85
36;3804;46036;11,88
37;3804;39750;12,08
38;3804;267;12,19
39;3804;44387;12,72
40;3804;39739;12,74
41;3804;39728;13,05
42;3804;39736;13,18
43;3804;44692;13,22
44;3804;10890;13,37
45;3804;48330;13,66
46;3804;39738;13,86
47;3804;28560;13,97
48;3804;45275;14,12
49;3804;39747;14,28
50;3804;16475;14,38
51;3804;44910;14,49
52;3804;46176;14,87
53;3804;29675;15,01
54;3804;203;15,16
55;3804;46074;15,17
56;3804;48510;15,24
57;3804;39729;15,41
58;3804;45144;15,52
59;3804;39730;15,67
60;3804;50973;16,08
61;3804;46256;16,18
62;3804;17079;16,31
63;3804;27886;16,31
64;3804;42482;16,35
65;3804;45993;16,36
66;3804;29680;16,39
67;3804;39764;16,47
68;3804;50976;16,49
69;3804;44486;16,57
70;3804;9718;16,77
71;3804;50952;16,86
72;3804;6129;16,94
73;3804;46243;16,95
74;3804;781;17,08
75;3804;39754;17,28
76;3804;35800;17,31
77;3804;50274;17,36
78;3804;45281;17,46
79;3804;45957;17,83
80;3804;13648;17,88
81;3804;39733;18,02
82;3804;29674;18,15
83;3804;35777;18,24
84;3804;10836;18,40
85;3804;44114;18,58
86;3804;29676;18,61
87;3804;39811;18,62
88;3804;45748;18,69
89;3804;29678;18,79
90;3804;39734;18,84
91;3804;35613;18,89
92;3804;9783;19,04
93;3804;835;19,16
94;3804;35856;19,28
95;3804;15962;19,53
96;3804;45273;19,53
97;3804;50974;19,57
98;3804;35867;19,75
99;3804;44811;20,08
100;3804;39731;20,23
101;3804;28634;20,29
102;3804;45917;20,69
103;3804;29716;20,70
104;3804;44836;20,78
105;3804;28640;20,79
106;3804;927;20,98
107;3804;15969;21,03
108;3804;29673;21,03
109;3804;47819;21,09
110;3804;44795;21,20
111;3804;45262;21,25
112;3804;48331;21,54
113;3804;44842;21,62
114;3804;39753;21,68
115;3804;32285;21,71
116;3804;34557;21,93
117;3804;39732;21,97
118;3804;44951;21,99
119;3804;44843;22,07
120;3804;44837;22,10
121;3804;35776;22,14
122;3804;50383;22,17
123;3804;46066;22,20
124;3804;39910;22,33
125;3804;45274;22,50
126;3804;48254;22,50
127;3804;27891;22,75
128;3804;42481;22,85
129;3804;46758;22,92
130;3804;44720;22,96
131;3804;39742;23,41
132;3804;39735;23,72
133;3804;35600;23,74
134;3804;7273;23,79
135;3804;45004;24,23
136;3804;43963;24,29
137;3804;39812;24,41
138;3804;39746;24,49
139;3804;35727;24,54
140;3804;43965;24,61
141;3804;28745;24,90
142;3804;45265;25,28
143;3804;3772;25,33
144;3804;35833;25,33
145;3804;48061;25,38
146;3804;44971;25,71
147;3804;29672;25,78
148;3804;29670;26,10
149;3804;29677;26,32
150;3804;20325;26,49
151;3804;33013;26,74
152;3804;35601;27,01
153;3804;5558;27,21
154;3804;9111;27,29
155;3804;46715;27,53
156;3804;49994;27,76
157;3804;39870;27,78
158;3804;39810;27,84
159;3804;1992;27,90
160;3804;46189;27,92
161;3804;32356;28,01
162;3804;39894;28,05
163;3804;44974;28,11
164;3804;13802;28,22
165;3804;43247;28,34
166;3804;50978;28,34
167;3804;42483;28,58
168;3804;42480;28,91
169;3804;7326;28,95
170;3804;39766;29,13
171;3804;4310;29,51
172;3804;29671;30,02
173;3804;2171;30,12
174;3804;39745;30,30
175;3804;28747;30,56
176;3804;45727;31,35
177;3804;35814;31,79
178;3804;45723;31,82
179;3804;39737;31,83
180;3804;29669;31,90
181;3804;35861;32,15
182;3804;50917;32,39
183;3804;28649;32,55
184;3804;39765;32,76
185;3804;50918;32,78
186;3804;9784;32,78
187;3804;39741;33,22
188;3804;7961;33,39
189;3804;45913;33,64
190;3804;35603;33,83
191;3804;28536;33,84
192;3804;902;33,85
193;3804;39743;34,46
194;3804;39767;34,61
195;3804;45267;34,64
196;3804;28564;35,10
197;3804;28629;35,14
198;3804;45715;35,18
199;3804;45877;35,20
200;3804;15711;35,29
201;3804;39799;35,38
202;3804;39800;35,83
203;3804;39744;35,87
204;3804;5715;36,28
205;3804;12518;37,64
206;3804;43964;38,43
207;3804;18090;40,04
208;3804;46724;59,40
209;3772;3772;0,00
210;3772;45004;1,14
211;3772;7273;2,21
212;3772;43965;2,45
213;3772;39735;2,52
214;3772;39732;3,49
215;3772;45274;3,79
216;3772;5558;3,85
217;3772;48331;4,04
218;3772;20325;4,21
219;3772;27891;4,34
220;3772;39810;4,99
221;3772;1992;5,05
222;3772;46715;5,10
223;3772;43963;5,11
224;3772;39894;5,20
225;3772;9111;5,24
226;3772;42480;5,55
227;3772;39746;5,70
228;3772;39753;5,70
229;3772;15969;6,44
230;3772;2171;6,74
231;3772;39734;6,82
232;3772;43247;7,06
233;3772;7326;7,40
234;3772;50978;7,60
235;3772;9718;8,45
236;3772;39733;9,21
237;3772;7961;10,01
238;3772;45273;10,02
239;3772;45913;10,84
240;3772;39765;12,02
241;3772;17079;12,02
242;3772;27886;12,02
243;3772;15711;12,21
244;3772;902;12,26
245;3772;39747;12,45
246;3772;39800;12,61
247;3772;50976;12,70
248;3772;45267;13,08
249;3772;48330;13,13
250;3772;39754;13,49
251;3772;39731;14,22
252;3772;12518;14,55
253;3772;5715;14,72
254;3772;46709;15,18
255;3772;44971;15,23
256;3772;39750;15,41
257;3772;26150;15,77
258;3772;9784;16,16
259;3772;46710;16,46
260;3772;28649;16,56
261;3772;46155;16,90
262;3772;43964;16,95
263;3772;46708;17,10
264;3772;18090;17,74
265;3772;46172;18,06
266;3772;44915;18,59
267;3772;4310;19,03
268;3772;39745;19,28
269;3772;39748;19,30
270;3772;26145;19,57
271;3772;28629;20,13
272;3772;29679;20,35
273;3772;44135;20,83
274;3772;18192;20,84
275;3772;39749;21,04
276;3772;45586;21,15
277;3772;43791;21,33
278;3772;44914;21,34
279;3772;39751;21,44
280;3772;17076;22,43
281;3772;14398;23,05
282;3772;3804;24,19
283;3772;43790;24,21
284;3772;11849;24,76
285;3772;39752;26,42
286;3772;39743;29,28
287;3772;29681;29,81
288;3772;42481;30,47
289;3772;1988;30,64
290;3772;48187;31,94
291;3772;46270;32,02
292;3772;50972;32,08
293;3772;46036;32,11
294;3772;29670;32,35
295;3772;267;32,43
296;3772;39740;32,80
297;3772;13323;32,93
298;3772;39739;32,97
299;3772;44812;32,99
300;3772;44770;33,19
301;3772;39736;33,42
302;3772;44692;33,45
303;3772;39744;33,60
304;3772;10890;33,60
305;3772;50547;33,68
306;3772;43962;33,90
307;3772;28560;34,20
308;3772;28549;34,30
309;3772;45275;34,35
310;3772;18087;34,65
311;3772;44910;34,72
312;3772;39738;34,76
313;3772;46074;35,40
314;3772;48510;35,48
315;3772;45144;36,20
316;3772;44387;36,47
317;3772;39729;36,48
318;3772;29680;36,62
319;3772;39728;36,79
320;3772;44486;36,80
321;3772;45993;36,86
322;3772;44811;37,49
323;3772;16475;38,12
324;3772;46176;38,62
325;3772;29675;38,75
326;3772;203;38,90
327;3772;35613;39,12
328;3772;835;39,39
329;3772;39730;39,42
330;3772;50974;39,80
331;3772;50973;39,82
332;3772;46256;39,92
333;3772;42482;40,09
334;3772;39764;40,21
335;3772;50952;40,60
336;3772;6129;40,68
337;3772;46243;40,69
338;3772;781;40,83
339;3772;45917;40,93
340;3772;35800;41,06
341;3772;50274;41,10
342;3772;45281;41,20
343;3772;29673;41,27
344;3772;44795;41,43
345;3772;45957;41,57
346;3772;13648;41,63
347;3772;29674;41,90
348;3772;35777;41,98
349;3772;10836;42,15
350;3772;44114;42,33
351;3772;29676;42,35
352;3772;39811;42,37
353;3772;45748;42,43
354;3772;29678;42,53
355;3772;9783;42,78
356;3772;35856;43,02
357;3772;15962;43,34
358;3772;35867;43,50
359;3772;35776;43,61
360;3772;28634;44,03
361;3772;29716;44,51
362;3772;44836;44,52
363;3772;28640;44,53
364;3772;39910;44,77
365;3772;927;44,80
366;3772;47819;44,83
367;3772;45262;44,99
368;3772;44842;45,37
369;3772;32285;45,46
370;3772;34557;45,67
371;3772;44951;45,74
372;3772;44843;45,81
373;3772;44837;45,84
374;3772;50383;45,91
375;3772;46066;45,94
376;3772;48254;46,24
377;3772;46758;46,67
378;3772;39742;47,15
379;3772;44720;47,16
380;3772;35600;47,48
381;3772;39812;48,15
382;3772;35727;48,33
383;3772;28745;48,64
384;3772;45265;49,03
385;3772;35833;49,08
386;3772;48061;49,13
387;3772;29672;49,53
388;3772;29677;50,06
389;3772;33013;50,49
390;3772;35601;50,76
391;3772;49994;51,51
392;3772;39870;51,53
393;3772;13802;51,59
394;3772;46189;51,66
395;3772;32356;51,76
396;3772;44974;51,86
397;3772;42483;52,32
398;3772;39766;52,88
399;3772;29671;53,77
400;3772;28747;54,31
401;3772;45727;55,10
402;3772;35814;55,16
403;3772;35861;55,52
404;3772;45723;55,57
405;3772;39737;55,58
406;3772;29669;55,64
407;3772;50917;55,76
408;3772;50918;56,15
409;3772;39741;56,96
410;3772;28536;57,21
411;3772;35603;57,58
412;3772;39767;57,98
413;3772;28564;58,84
414;3772;45715;58,92
415;3772;45877;58,95
416;3772;39799;59,12
417;3772;46724;83,14
418;4310;4310;0,00
419;4310;28649;3,04
420;4310;9784;3,27
421;4310;44971;5,29
422;4310;45273;6,12
423;4310;39734;8,30
424;4310;15969;8,47
425;4310;39753;9,13
426;4310;39745;9,88
427;4310;9718;9,96
428;4310;27891;10,21
429;4310;17079;10,26
430;4310;27886;10,26
431;4310;48331;10,99
432;4310;43964;11,17
433;4310;39732;11,19
434;4310;28629;11,65
435;4310;43963;11,73
436;4310;39733;11,81
437;4310;39746;11,93
438;4310;18090;11,95
439;4310;45274;12,03
440;4310;39731;12,38
441;4310;39735;13,17
442;4310;7273;13,24
443;4310;39747;13,38
444;4310;48330;13,56
445;4310;45004;13,59
446;4310;20325;13,93
447;4310;43965;14,05
448;4310;39894;14,18
449;4310;50976;14,41
450;4310;3772;14,56
451;4310;7326;14,61
452;4310;46709;15,05
453;4310;39754;15,20
454;4310;39810;15,29
455;4310;1992;15,34
456;4310;45913;15,60
457;4310;26150;15,65
458;4310;43247;15,78
459;4310;902;15,81
460;4310;39750;15,95
461;4310;46710;16,34
462;4310;5558;16,59
463;4310;45267;16,60
464;4310;46155;16,77
465;4310;46708;16,98
466;4310;46715;17,64
467;4310;7961;17,65
468;4310;9111;17,78
469;4310;46172;17,93
470;4310;5715;18,09
471;4310;42480;18,29
472;4310;44915;18,46
473;4310;39748;19,18
474;4310;50978;19,25
475;4310;2171;19,48
476;4310;26145;20,12
477;4310;29679;20,22
478;4310;39743;20,65
479;4310;44135;20,70
480;4310;18192;20,72
481;4310;15711;20,84
482;4310;39749;20,92
483;4310;45586;21,03
484;4310;39800;21,19
485;4310;43791;21,20
486;4310;44914;21,22
487;4310;39751;21,32
488;4310;42481;21,84
489;4310;17076;22,30
490;4310;14398;22,92
491;4310;12518;23,13
492;4310;39765;23,67
493;4310;29670;23,72
494;4310;3804;24,07
495;4310;43790;24,08
496;4310;11849;24,63
497;4310;39744;24,96
498;4310;39752;26,30
499;4310;45993;28,23
500;4310;44811;28,86
501;4310;29681;29,69
502;4310;1988;30,52
503;4310;48187;31,82
504;4310;46270;31,89
505;4310;50972;31,96
506;4310;46036;31,98
507;4310;267;32,30
508;4310;39740;32,67
509;4310;13323;32,80
510;4310;39739;32,85
511;4310;44812;32,87
512;4310;44770;33,07
513;4310;39736;33,29
514;4310;44692;33,33
515;4310;10890;33,47
516;4310;50547;33,56
517;4310;43962;33,77
518;4310;28560;34,08
519;4310;28549;34,18
520;4310;45275;34,23
521;4310;18087;34,53
522;4310;44910;34,60
523;4310;39738;34,64
524;4310;46074;35,27
525;4310;48510;35,35
526;4310;45144;36,07
527;4310;44387;36,34
528;4310;39729;36,35
529;4310;29680;36,50
530;4310;39728;36,67
531;4310;44486;36,67
532;4310;50952;36,83
533;4310;16475;37,99
534;4310;46176;38,49
535;4310;29675;38,63
536;4310;203;38,78
537;4310;35613;39,00
538;4310;835;39,27
539;4310;39730;39,29
540;4310;50974;39,67
541;4310;50973;39,70
542;4310;46256;39,80
543;4310;42482;39,97
544;4310;39764;40,09
545;4310;6129;40,56
546;4310;46243;40,57
547;4310;781;40,70
548;4310;45917;40,80
549;4310;35800;40,93
550;4310;50274;40,98
551;4310;45281;41,08
552;4310;29673;41,14
553;4310;44795;41,31
554;4310;45957;41,45
555;4310;13648;41,50
556;4310;29674;41,77
557;4310;35777;41,85
558;4310;10836;42,02
559;4310;44114;42,20
560;4310;29676;42,23
561;4310;39811;42,24
562;4310;45748;42,31
563;4310;29678;42,41
564;4310;9783;42,66
565;4310;35856;42,90
566;4310;15962;43,22
567;4310;35867;43,37
568;4310;35776;43,49
569;4310;28634;43,91
570;4310;29716;44,38
571;4310;44836;44,40
572;4310;28640;44,41
573;4310;39910;44,64
574;4310;927;44,67
575;4310;47819;44,71
576;4310;45262;44,87
577;4310;44842;45,24
578;4310;32285;45,33
579;4310;34557;45,54
580;4310;44951;45,61
581;4310;44843;45,69
582;4310;44837;45,72
583;4310;28747;45,73
584;4310;50383;45,79
585;4310;46066;45,82
586;4310;48254;46,12
587;4310;45727;46,52
588;4310;46758;46,54
589;4310;45723;46,99
590;4310;39742;47,03
591;4310;44720;47,03
592;4310;35600;47,36
593;4310;39812;48,03
594;4310;35727;48,20
595;4310;39741;48,38
596;4310;28745;48,52
597;4310;45265;48,90
598;4310;35833;48,95
599;4310;48061;49,00
600;4310;32356;49,18
601;4310;29672;49,40
602;4310;29677;49,94
603;4310;33013;50,36
604;4310;39799;50,54
605;4310;35601;50,63
606;4310;49994;51,38
607;4310;39870;51,40
608;4310;13802;51,46
609;4310;46189;51,54
610;4310;44974;51,73
611;4310;28564;52,02
612;4310;42483;52,20
613;4310;39766;52,75
614;4310;29671;53,64
615;4310;45715;54,79
616;4310;35814;55,03
617;4310;35861;55,40
618;4310;39737;55,45
619;4310;29669;55,52
620;4310;50917;55,64
621;4310;50918;56,02
622;4310;35603;56,26
623;4310;28536;57,09
624;4310;39767;57,85
625;4310;45877;58,40
626;4310;46724;83,02
627;5558;5558;0,00
628;5558;42480;2,35
629;5558;45004;3,00
630;5558;2171;3,24
631;5558;3772;3,84
632;5558;20325;4,56
633;5558;39810;5,35
634;5558;1992;5,41
635;5558;43963;5,46
636;5558;39894;5,56
637;5558;39732;5,58
638;5558;7273;5,95
639;5558;43965;6,19
640;5558;39735;6,25
641;5558;27891;6,47
642;5558;7961;6,51
643;5558;45274;7,00
644;5558;39746;7,05
645;5558;45913;7,34
646;5558;43247;7,41
647;5558;7326;7,75
648;5558;48331;7,78
649;5558;39753;7,84
650;5558;15711;8,42
651;5558;15969;8,45
652;5558;902;8,49
653;5558;39800;8,76
654;5558;46715;8,84
655;5558;9111;8,98
656;5558;39734;9,16
657;5558;9718;10,29
658;5558;39765;10,66
659;5558;12518;10,70
660;5558;50978;11,21
661;5558;45267;11,35
662;5558;45273;12,15
663;5558;39733;12,95
664;5558;5715;12,99
665;5558;17079;13,86
666;5558;27886;13,86
667;5558;39747;14,53
668;5558;48330;15,21
669;5558;50976;15,56
670;5558;39754;16,35
671;5558;39731;16,36
672;5558;9784;16,52
673;5558;18090;16,75
674;5558;28649;16,92
675;5558;46709;17,03
676;5558;43964;17,31
677;5558;44971;17,36
678;5558;39750;17,49
679;5558;26150;17,63
680;5558;46710;18,54
681;5558;46155;18,81
682;5558;46708;19,02
683;5558;39745;19,64
684;5558;4310;19,81
685;5558;46172;19,97
686;5558;28629;20,49
687;5558;44915;20,67
688;5558;39748;21,22
689;5558;26145;21,66
690;5558;29679;22,43
691;5558;44135;22,74
692;5558;18192;22,93
693;5558;45586;23,07
694;5558;39749;23,12
695;5558;43791;23,41
696;5558;44914;23,42
697;5558;39751;23,52
698;5558;17076;24,51
699;5558;14398;24,90
700;5558;3804;26,05
701;5558;43790;26,12
702;5558;11849;26,76
703;5558;39752;28,28
704;5558;39743;29,64
705;5558;42481;30,83
706;5558;29681;31,82
707;5558;1988;32,66
708;5558;29670;32,71
709;5558;46270;33,88
710;5558;39744;33,95
711;5558;48187;33,95
712;5558;50972;34,10
713;5558;46036;34,12
714;5558;267;34,44
715;5558;39740;34,66
716;5558;13323;34,78
717;5558;44812;34,85
718;5558;39739;34,98
719;5558;44770;35,05
720;5558;39736;35,43
721;5558;44692;35,46
722;5558;50547;35,54
723;5558;10890;35,61
724;5558;43962;35,75
725;5558;28549;36,16
726;5558;28560;36,21
727;5558;45275;36,36
728;5558;18087;36,51
729;5558;44910;36,74
730;5558;39738;36,77
731;5558;45993;37,22
732;5558;46074;37,41
733;5558;48510;37,49
734;5558;44811;37,84
735;5558;45144;38,21
736;5558;44387;38,32
737;5558;39729;38,49
738;5558;29680;38,64
739;5558;39728;38,65
740;5558;44486;38,81
741;5558;16475;39,98
742;5558;46176;40,48
743;5558;29675;40,61
744;5558;203;40,76
745;5558;35613;41,13
746;5558;39730;41,27
747;5558;835;41,40
748;5558;50973;41,68
749;5558;46256;41,78
750;5558;50974;41,81
751;5558;42482;41,95
752;5558;39764;42,07
753;5558;50952;42,46
754;5558;6129;42,54
755;5558;46243;42,55
756;5558;781;42,68
757;5558;35800;42,91
758;5558;45917;42,94
759;5558;50274;42,96
760;5558;45281;43,06
761;5558;29673;43,28
762;5558;45957;43,43
763;5558;44795;43,45
764;5558;13648;43,48
765;5558;29674;43,75
766;5558;35777;43,84
767;5558;10836;44,00
768;5558;44114;44,18
769;5558;29676;44,21
770;5558;39811;44,22
771;5558;45748;44,29
772;5558;29678;44,39
773;5558;9783;44,64
774;5558;35856;44,88
775;5558;15962;45,20
776;5558;35867;45,36
777;5558;35776;45,62
778;5558;28634;45,89
779;5558;29716;46,37
780;5558;44836;46,38
781;5558;28640;46,39
782;5558;927;46,66
783;5558;47819;46,69
784;5558;39910;46,78
785;5558;45262;46,85
786;5558;44842;47,22
787;5558;32285;47,32
788;5558;34557;47,53
789;5558;44951;47,59
790;5558;44843;47,67
791;5558;44837;47,70
792;5558;50383;47,77
793;5558;46066;47,80
794;5558;48254;48,10
795;5558;46758;48,52
796;5558;39742;49,01
797;5558;44720;49,01
798;5558;35600;49,34
799;5558;39812;50,01
800;5558;35727;50,18
801;5558;28745;50,50
802;5558;45265;50,88
803;5558;35833;50,94
804;5558;48061;50,99
805;5558;29672;51,38
806;5558;29677;51,92
807;5558;33013;52,35
808;5558;35601;52,61
809;5558;49994;53,37
810;5558;39870;53,38
811;5558;46189;53,52
812;5558;13802;53,60
813;5558;32356;53,61
814;5558;44974;53,71
815;5558;42483;54,18
816;5558;28747;54,72
817;5558;39766;54,73
818;5558;45727;55,51
819;5558;29671;55,62
820;5558;45723;55,98
821;5558;35814;57,17
822;5558;39741;57,37
823;5558;39737;57,44
824;5558;29669;57,50
825;5558;35861;57,53
826;5558;50917;57,77
827;5558;50918;58,16
828;5558;28536;59,22
829;5558;35603;59,44
