;index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det;lat_corrigida;long_corrigida;endereco_google
0;1208;3469;2787628;-237.714.529.037.469;-46.696.679.592.131.200;AMA UBS INTEGRADA JARDIM MIRNA;RUA DR JUVENAL HUDSON FERREIRA;13;JARDIM MIRNA;(11)55265175;4856140.0;SP;São Paulo;2016;5;-23.7692218;-46.6986378;R. Dr. Juvenal Hudson Ferreira, 13 - Jardim Myrna, São Paulo - SP, 04856-140, Brazil
1;1438;3889;2787679;-235.742.709;-4.668.860.720.000.000;AMA UBS INTEGRADA JARDIM PAULISTANO;RUA ENCRUZILHADA DO SUL;496;JAD PAULISTANO;(11)39715342;2816010.0;SP;São Paulo;2016;5;-23.4613107;-46.7050152;R. Encruzilhada do Sul, 496 - Jardim Paulistano (Zona Norte), São Paulo - SP, 02816-010, Brazil
2;1444;3865;2027054;-235.626.161.098.473;-46.492.574.214.933.900;UBS J MARILIA;RUA ELZA DOS ANJOS NEVES;22;JD MARILIA;(11)27439526;3585100.0;SP;São Paulo;2016;5;-23.5626386;-46.4924293;R. Elza dos Anjos Neves, 22 - Jardim Brasilia, São Paulo - SP, 03585-100, Brazil
3;1489;3891;2788047;-23.494.329.999.999.900;-4.662.027;AMA UBS INTEGRADA LAUZANE PAULISTA;RUA VALORBE;80;LAUZANE PAULISTA;11 22318619/22585818;2442140.0;SP;São Paulo;2016;5;-23.4752797;-46.64171839999999;R. Valorbe, 80 - Lauzane Paulista, São Paulo - SP, 02442-140, Brazil
4;1508;3866;2752166;-235.539.364.814.751;-4.658.010.005.950.780;AMA UBS INTEGRADA AGUA RASA;RUA SERRA DE JAIRE;1480;AGUA RASA;(11)66052156;3175001.0;SP;São Paulo;2016;5;-23.5537469;-46.5799659;Rua Serra de Jairé, 1480 - Quarta Parada, São Paulo - SP, 03175-001, Brazil
5;1525;3961;2787709;-23.714.734.947.993.600;-46.687.110.811.471.900;UBS J REPUBLICA;AVN GONCALO DE PAIVA GOMES;285;JARDIM REPUBLICA;(11)56635000;4812090.0;SP;São Paulo;2016;5;-23.7148062;-46.687261;Av. Gonçalo de Paiva Gomes, 285 - Jardim Republica, São Paulo - SP, 04812-090, Brazil
6;1533;3890;2787474;-23.743.911.981.582;-46.705.369.949.339.500;AMA UBS INTEGRADA JARDIM ICARAI QUINTANA;RUA SAO ROQUE DO PARAGUACU;190;VILA QUINTANA;(11)59280872;4837150.0;SP;São Paulo;2016;5;-23.7439673;-46.7035484;Rua São Roque do Paraguaçu, 190 - Vila Quintana, São Paulo - SP, 04837-150, Brazil
7;1630;3887;2787636;-2.364.241;-4.676.743;UBS JARDIM MITSUTANI;RUA FREI XISTO TEUBER;50;JARDIM MITSUTANI;(11) 58429292;5791080.0;SP;São Paulo;2016;5;-23.6422934;-46.7808237;R. Frei Xisto Teuber, 50 - Jardim Mitsutani, São Paulo - SP, 05791-080, Brazil
8;1637;3868;2788756;-23.538.439.999.999.900;-4.670.368;AMA UBS INTEGRADA VILA BARBOSA;AVENIDA MANDAQUI;197;LIMAO;39661302 / 39516457;2550000.0;SP;São Paulo;2016;5;-23.5052153;-46.6705712;Av. Mandaqui, 197 - Limão, São Paulo - SP, 02550-000, Brazil
9;1659;3999;2042959;-235.967.230.796.807;-465.924.167.633.043;UBS JOAQUIM ROSSINI;RUA ALVARO FRAGOSO;480;VILA CARIOCA;(11)22734602;4223000.0;SP;São Paulo;2016;5;-23.5966619;-46.592506;R. Álvaro Fragoso, 480 - Vila Independencia, São Paulo - SP, 04223-000, Brazil
