index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det;lat_corrigida;long_corrigida;endereco_google
2;273;2478234;-34.996.819.496.153.800;-402.771.234.512.317;CENTRO DE SAUDE DA FAMILIA DO MIRIM ANTONIO BISPO FILHO;ALTO ALEGRE;S/N;ALTO ALEGRE;8836431065;62140000.0;CE;Massapê;2016;5;-38.035.014;-402.625.283;Alto Alegre, Forquilha - CE, 62115-000, Brazil
3;46;2412802;-132.777.392.864.223;-413.851.547.241.199;US DA FAMILIA DE IRACEMA COSTA E SILVA;TRAVESSA ITAMAR MAGALHAES;25;CENTRO;77 34135203;46760000.0;BA;Ibicoara;2016;5;-134.136.556;-41.284.438;Ibicoara, BA, 46760-000, Brazil
4;330;2756161;-7.115;-34.863;USF INTEGRADA SANTA CLARA;RUA NEVINHA RAPOSO;53;CASTELO BRANCO;(83)32147126;58050520.0;PB;João Pessoa;2016;5;-7.130.607.899.999.990;-348.495.159;R. Nevinha Raposo - Conj. Pres. Castelo Branco II, João Pessoa - PB, 58033-455, Brazil
5;346;2477564;-106.173.634.529.111;-37.650.275.230.406.600;UNIDADE DE SAUDE DA FAMILIA JOVITA MARIA DE ALMEIDA;POVOADO MANUINO;S/N;ZONA RURAL;(79)4591240;49512000.0;SE;Pedra Mole;2016;5;-106.196.272;-376.876.794;Pedra Mole - State of Sergipe, Brazil
9;112;3519929;-15.037.234.108.912.800;-419.357.339.067.348;USF DO POVOADO DE ALVORADA;PRACA CORONEL JOSE MOREIRA CORDEIRO;104;CENTRO;7734472114;46280000.0;BA;Cordeiros;2016;5;-150.396.002;-419.340.865;Praça Cel. José Moreira Cordeiro, 104, Cordeiros - BA, 46280-000, Brazil
11;389;2719762;-926.699.995.994.541;-379.346.966.743.458;CENTRO DE SAUDE MUNICIPAL DE AGUA BRANCA;RUA NOSSA SENHORA DA CONCEICAO;S/N;BAIRRO NOVO;;57490000.0;AL;Água Branca;2016;5;-92.613.574;-379.361.482;Água Branca - State of Alagoas, 57490-000, Brazil
14;153;3005844;-6.459.381.580.352.590;-355.762.195.587.148;UNIDADE BASICA DE SAUDE BENEDITA DO CARMO LIMA;AVENIDA CELSO LISBOA;1365;CENTRO;(84)2882099;59218000.0;RN;Passa e Fica;2016;5;-6.436.518.500.000.000;-356.433.715;Av. Celso Lisboa, 1365, Passa e Fica - RN, 59218-000, Brazil
15;121;6741096;-134.016.788.005.825;-389.159.989.356.983;USF DO ZIMBO BRAZ BORGES DE OLIVEIRA;ZIMBO;S/N;MORRO DE SAO PAULO;(75) 3653-2027;45420000.0;BA;Cairu;2016;5;-134.036.448;-389.164.157;R. do Zimbo, Cairu - BA, 45420-000, Brazil
16;148;5589614;-917.991.399.764.988;-361.584.520.339.955;UNIDADE DE SAUDE DA FAMILIA DE BARRO BRANCO;FAZENDA BARRO BRANCO;S/N;ZONA RURAL;(82) 2891213;57840000.0;AL;Santana do Mundaú;2016;5;-9.171.836.599.999.990;-362.179.354;Santana do Mundaú, State of Alagoas, 57840-000, Brazil
17;57;2429624;-9.144.144.058.227.260;-40.323.107.242.583.100;UBS OSVALDO COELHO;RUA ANTONIO RIBEIRO;S/N;ZONA RURAL;87 3986 5256;56304020.0;PE;Petrolina;2016;5;-9.389.083;-405.030.961;Petrolina, State of Pernambuco, Brazil
18;132;2476967;-10.506.099.631.900.300;-370.548.329.945.789;UNIDADE DE SAUDE DA FAMILIA CRUZ DO CONGO;POVOADO CRUZ DO CONGO;S/N;POVOADO CRUZ DO CONG;(79)02631279;49700000.0;SE;Capela;2016;5;-105.102.117;-370.530.033;Capela, State of Sergipe, 49700-000, Brazil
20;39;2620448;-11.517.789.923.610.100;-381.517.158.173.066;USF JOSE ALVES DE SOUZA NETO;POV PINTO;S/N;ZONA RURAL;75 34432182 RAMAL 30;48480000.0;BA;Crisópolis;2016;5;-115.128.084;-381.490.183;Crisópolis, BA, 48480-000, Brazil
21;249;2360500;-496.326.684.951.768;-47.490.141.391.752.700;UNIDADE BASICA DE SAUDE OURO VERDE;RUA COELHO NETO;1;OURO VERDE;;65930000.0;MA;Açailândia;2016;5;-42.596.751;-430.182.166;Coelho Neto, State of Maranhão, 65620-000, Brazil
22;85;3862992;-13.290.957.212.447.600;-41.403.951.644.896.200;US DA FAMILIA DE RENASCER;RENASCER;25;DISTRITO CASCAVEL;77 34135203;46760000.0;BA;Ibicoara;2016;5;-132.912.162;-4.140.350.100.000.000;Renascer, Ibicoara - BA, 46760-000, Brazil
25;107;3502082;-136.873.233.318.325;-394.748.640.060.413;UNIDADE DE SAUDE DA FAMILIA DO ALIANCA;AV BEIRA RIO;S/N;ALIANCA;(73)3278-2193;45460000.0;BA;Wenceslau Guimarães;2016;5;-136.859;-394.769.874;Wenceslau Guimarães - State of Bahia, Brazil
27;207;6911218;-836.086.392.402.625;-403.588.771.820.057;USF DE VILA SAO FRANCISCO;VILA SAO FRANCISCO;S/N;ZONA RURAL;;56215000.0;PE;Santa Cruz;2016;5;-88.137.173;-36.954.107;State of Pernambuco, Brazil
28;384;3456781;-9.931.610.389.742.440;-364.715.218.222.232;UNIDADE BASICA DE SAUDE DA FAMILIA MUTIRAO;RUA EM PROJETO;S/N;MUTIRAO;(82)5411218;57270000.0;AL;Junqueiro;2016;5;-99.073.899;-364.806.764;Junqueiro, State of Alagoas, 57270-000, Brazil
30;269;7836872;-45.201.837;-44.465.879;UNIDADE BASICA DE SAUDE ANTONINHO;POVOADO BOM JESUS;0;ZONA RURAL;;65728000.0;MA;Lima Campos;2016;5;-4.571.134.499.999.990;-445.086.841;Bom Jesus, Lima Campos - MA, 65728-000, Brazil
32;348;2426765;-447.220.802.307.116;-387.542.939.186.085;POSTO DE SAUDE DE JAGUARAO;RUA CENTRAL;S/N;JAGUARAO;33375517;62750000.0;CE;Aracoiaba;2016;5;-44.668.741;-387.500.244;Jaguarão, Aracoiaba - CE, 62750-000, Brazil
