index;gid;co_cnes;lat;long;no_fantasia;no_logradouro;nu_endereco;no_bairro;nu_telefone;co_cep;uf;cidade;ano_ubs_det;mes_ubs_det;lat_corrigida;long_corrigida;endereco_google
1;331;2576368;-23.598.461.151.122.300;-51.632.051.467.894;UBS LAZARO DE PAULA RODRIGUES;RUA MARUMBI;S/N;CENTRO;(43)34327398;86900000.0;PR;Jandaia do Sul;2016;5;-236.004.021;-516.289.398;R. Marumbi, Jandaia do Sul - PR, 86900-000, Brazil
31;251;7444222;-2.735.305;-5.355.305;UNIDADE BASICA DE SAUDE CALDEIRAO;LINHA CALDEIRAO;S/N;LINHA CALDEIRAO;;98430000.0;RS;Palmitinho;2016;5;-273.059.214;-536.131.047;- Linha Caldeirao, S/N - Interior, Palmitinho, Palmitinho - RS, 98430-000, Brazil
35;247;7688202;-28.285.108.877.217.900;-523.729.312.419.891;UNIDADE BASICA DE SAUDE SANTO ANTONIO DA PEDREIRA;QUIM CESAR;145;SANTO ANTONIO DA PED;54 35811195;99010110.0;RS;Passo Fundo;2016;5;-282.851.238;-523.726.873;R. Cel. Quim César, 145 - Sto Ant Pedreira, Passo Fundo - RS, 99064-020, Brazil
37;395;2577003;-23.106.844.425.200.700;-503.693.962.097.153;PRONTO ATENDIMENTO MUNICIPAL;RUA PREFEITO JOSE MARIO JUNQUEIRA;S/N;CENTRO;(43)35424525;86360000.0;PR;Bandeirantes;2016;5;-231.067.082;-503.682.666;R. Pref. José Mario Junqueira, Bandeirantes - PR, 86360-000, Brazil
43;1;2735180;-237.792.527.675.622;-52.351.291.179.655.500;POSTO DE SAUDE DE FIGUEIRA DO OESTE;AVENIDA PIQUIRI;S/N;DISTRITO;(44)3533-1180;87270000.0;PR;Engenheiro Beltrão;2016;5;-237.812.364;-523.548.937;Av. Piquiri, Eng. Beltrão - PR, 87270-000, Brazil
51;23;2549867;-25.874.000.000.000.000;-50.383;UNIDADE BASICA DE SAUDE DO ROSAS;ROSAS;S/N;ROSAS;;83900000.0;PR;São Mateus do Sul;2016;5;-258.681.839;-503.842.316;São Mateus do Sul, State of Paraná, 83900-000, Brazil
54;199;3645479;-31.326.307.745.250.500;-541.114.631.958.008;UBS ESF COXILHA DAS FLORES;BR 153;1216;DISTRITO DE PALMAS;5332405260;96400050.0;RS;Bagé;2016;5;-217.271.657;-498.321.389;BR-153, 1216, Lins - SP, Brazil
57;252;6237630;-284.528.303.146.354;-49.081.313.610.075.500;UBS KM 63;RUA GERAL DA GUARDA;S/N;KM 63;(48) 3626-0765;88702704.0;SC;Tubarão;2016;5;-284.739.502;-490.475.071;Estr. Geral da Guarda - São João Margem Direita, Tubarão - SC, 88708-603, Brazil
63;13;2419963;-28.673.572.252.674.600;-49.365.939.558.822.200;UNIDADE BASICA DE SAUDE VILA ZULEIMA;RUA ANTONIO DE OLIVEIRA;S/N;VILA ZULEIMA;(48)34458475;88817220.0;SC;Criciúma;2016;5;-286.654.786;-493.996.079;R. Antônio de Oliveira - Vila Zuleima, Criciúma - SC, Brazil
64;320;2226960;-296.407.628.899.965;-505.734.423.345.882;CENTRO MUNICIPAL DE SAUDE DE ROLANTE;AV BORGES DE MEDEIROS;1837;CENTRO;(51)5471210;95690000.0;RS;Rolante;2016;5;-296.537.287;-50.577.296;Av. Borges de Medeiros, 1837, Rolante - RS, 95690-000, Brazil
66;303;2588277;-2.435.515;-5.196.751;UBS DE POEMA;AVENIDA PARANA;300;POEMA;43-36471029;85250000.0;PR;Nova Tebas;2016;5;-244.385.538;-519.476.787;Av. Belo Horizonte, 695, Nova Tebas - PR, 85250-000, Brazil
67;90;4054466;-24.482.420.682.906.300;-538.763.523.101.791;POSTO DE SAUDE DE VILA CRISTAL;RUA RIO GRANDE DO SUL;7;CENTRO;(45)2531446;85930000.0;PR;Nova Santa Rosa;2016;5;-244.678.956;-539.534.376;R. Maripá, Nova Santa Rosa - PR, 85930-000, Brazil
68;146;2398184;-256.024.038.791.649;-50.444.884.300.230.500;POSTO DE SAUDE DE BITUVA DOS MACHADOS;BITUVA DOS MACHADOS;S/N;ZONA RURAL;(42)34591269;84535000.0;PR;Fernandes Pinheiro;2016;5;-25.463.471;-50.568.185;BR 277 - Km 233, S/N Zona Rural, Fernandes Pinheiro - PR, 84535-000, Brazil
88;56;2583682;-26.074.975.478.558.300;-537.230.834.338.629;ESF II MARCIANOPOLIS;LINHA MARCIANOPOLIS;S/N;LINHA MARCIANOPOLIS;;85710000.0;PR;Santo Antônio do Sudoeste;2016;5;-261.099.113;-536.412.295;Av. Marcianopolis, Santo Antônio do Sudoeste - PR, 85710-000, Brazil
89;196;2549441;-26.428;-51.316;CENTRO DE SAUDE MONTE CASTELO;RUA PRESIDENTE CASTELO BRANCO;360;MONTE CASTELO;(042)35522282;84660000.0;PR;General Carneiro;2016;5;-26.422.024;-5.131.124.699.999.990;R. Pres. Castelo Branco, 375 - Monte Castelo, Gen. Carneiro - PR, 84660-000, Brazil
93;94;2683512;-25.148.917.436.599.000;-501.671.361.923.203;UNIDADE BASICA DE SAUDE LAURO MULLER;RUA TUCANO;S/N;SANTA MARIA;(42)39011749;84043140.0;PR;Ponta Grossa;2016;5;-251.473.963;-501.666.641;N.Santa Maria - R. Corruíra, 01 - Colonia Dona Luiza, Ponta Grossa - PR, 84043-222, Brazil
105;361;2567490;-237.695.969;-52.446.039.899.999.900;UBS LAZARO DE MATTOS RODRIGUES;AVENIDA PRESIDENTE CASTELO BRANCO;S/N;CENTRO;(44) 6511159;87245000.0;PR;Terra Boa;2016;5;-232.787.073;-521.540.529;Pres. Castelo Branco, PR, 87180-000, Brazil
114;315;2411180;-265.835.988.521.568;-526.409.697.532.639;US MARATA;DISTRITO DE MARATA;S/N;MARATA;(49)4430281;89835000.0;SC;São Domingos;2016;5;-265.830.995;-526.366.318;Maratá, São Domingos - SC, 89835-000, Brazil
115;287;2236877;-29.448.337.554.930.800;-513.602.042.198.166;POSTO DE SAUDE SANTA TERESINHA;DULCE LUFT;43;CENTRO;51 35347531;95765000.0;RS;Bom Princípio;2016;5;-29.492.613;-513.549.766;Bom Principio, Bom Princípio - RS, 95765-000, Brazil
128;356;2782634;-233.737.885.951.989;-518.009.662.628.159;POSTO DE SAUDE DE SANTA FE DO PIRAPO;ESTRADA SARANDI;S/N;DIST STA FE DO PIRA;(44 3287 - 1000;86990000.0;PR;Marialva;2016;5;-234.445.928;-5.187.650.439.999.990;Sarandi, State of Paraná, Brazil
150;711;2620685;-23.766;-53.325;UNIDADE SAUDE DA FAMILIA COHAPAR I;RUA SANTINA COLOMBO BONORA;1920;JARDIM UNIAO;(44) 39061064;87508165.0;PR;Umuarama;2016;5;-237.781.364;-5.332.768.670.000.000;R. Santina Colombo Bonorá, 1920 - Jardim Uniao, Umuarama - PR, 87508-165, Brazil
156;624;2378965;-263.371.264.112.188;-499.087.562.022.231;ESF LUCENA;RUA PEDRO IVO CAMPOS;63;LUCENA;(47) 6521201;89340000.0;SC;Itaiópolis;2016;5;-263.624.219;-499.110.084;R. Pedro Ivo Campos, 63 - Lucena, Itaiópolis - SC, 89340-000, Brazil
177;626;3088197;-235.469.198.226.922;-51.462.385.654.448.000;UBS DR FOUAD SALOMAO;RUA JAMIL SONI;S/N;CENTRO;(43)4245701;86800660.0;PR;Apucarana;2016;5;-235.476.855;-514.613.717;R. Jamil Soni - Centro, Apucarana - PR, Brazil
182;552;18899;-25.537.702;-4.920.008.246.566.720;UNIDADE DE SAUDE MORADIAS TREVISAN;RUA LUIZ ORIDES DA ROCHA;26;JD NAIME;(41) 3383 - 1977;83020304.0;PR;São José dos Pinhais;2016;5;-255.718.881;-491.552.594;R. Naime Nasser - Costeira, São José dos Pinhais - PR, Brazil
190;690;6545815;-23.736.122.846.602.600;-52.872.197.628.019.700;PRONTO ATENDIMENTO;AVENIDA JOAO CECCON;S/N;CENTRO;(44) 3677-2516;87430000.0;PR;Tapejara;2016;5;-237.264.104;-528.676.077;Av. João Ceccon, Tapejara - PR, 87430-000, Brazil
197;464;2439565;-235.576.164.722.436;-51.428.632.736.204.600;UBS LEOPOLDO HARTWIG JR;RUA MARCILIO DIAS;S/N;VILA NOVA;;86812460.0;PR;Apucarana;2016;5;-235.544.105;-514.289.227;R. Marcílio Dias - Vila Nova, Apucarana - PR, Brazil
200;527;2234491;-27.661.539.882.669.800;-5.364.193.369.399.520;POSTO DE SAUDE DE REDENTORA;JAIME FERREIRA DE MOURA;792;CENTRO;(55)35561182;98550000.0;RS;Redentora;2016;5;-276.630.254;-536.377.138;R. Jaime Ferreira de Moura, 792, Redentora - RS, 98550-000, Brazil
209;438;2691027;-26.869.672.536.849.100;-49.248.468.875.883.500;ESTRATEGIA SAUDE DA FAMILIA BERTOLINA MAY KECHELE;RUA JUIZ DE FORA;69;BENEDITO;(47)3334173;89084632.0;SC;Indaial;2016;5;-268.698.531;-4.924.843.329.999.990;Alameda Juíz de Fora, 69 - Benedito, Indaial - SC, 89130-000, Brazil
220;502;2341069;-28.483.585.953.911.900;-487.813.886.217.994;ESF VILA VITORIA;SYLVIA ULISSEA BAIAO;92;VILA VITORIA;36472315;88790000.0;SC;Laguna;2016;5;-284.942.384;-487.829.484;R. Sylvia Ulyssea Baião, 92 - Vila Vitória, Laguna - SC, 88790-000, Brazil
225;544;2244489;-281.066.751.480.094;-52.145.340.442.656;POSTO DE SAUDE VILA LANGARO;RUA 22 DE OUTUBRO;653;CENTRO;(54) 3616-0102;99955000.0;RS;Vila Lângaro;2016;5;-28.102.956;-521.466.217;Av. Vinte e Dois de Outubro, 653, Vila Lângaro - RS, 99955-000, Brazil
227;621;2263157;-286.881.673.336.021;-52.967.083.454.130.400;POSTO DE SAUDE DA LINHA FLORESTA;ZONA RURAL;S/N;LINHA FLORESTA;;99450000.0;RS;Selbach;2016;5;-286.467.632;-529.526.349;Av. Principal, Selbach - RS, 99450-000, Brazil
228;581;2700298;-299.421.751.499.167;-510.188.341.140.732;USF COHAB C GRAVATAI;RUA OTELO ROSA;211;COHAB C;(51)3600-7912;94030080.0;RS;Gravataí;2016;5;-29.940.995;-510.172.228;R. Otelo Rosa, 211 - COHAB C, Gravataí - RS, Brazil
232;444;2251345;-294.668.555.259.696;-51.964.774.131.773.300;ESTRATEGIA DE SAUDE DA FAMILIA SAO JOSE PRAIA;RUA JULIO MAY;383;CENTRO;(51) 3982-1127;95900178.0;RS;Lajeado;2016;5;-294.667.802;-519.648.187;R. Júlio May, 383 - Centro, Lajeado - RS, 95900-000, Brazil
234;613;2702657;-26.721;-48.933;UNIDADE DE SAUDE DA FAMILIA RIBEIRAO MAXIMO;ESTRADA GERAL;S/N;RIBEIRAO MAXIMO;(47) 377-2521;89128000.0;SC;Luiz Alves;2016;5;-267.333.428;-489.025.293;Ribeirão Máximo, Luiz Alves - SC, 89115-000, Brazil
236;681;2735784;-22.700.068.575.621.200;-51.795.299.901.409.900;UNIDADE DE SAUDE DA FAMILIA DE STO INACIO;AV RAPOSO TAVARES;972;CENTRO;(44)33521894;86650000.0;PR;Santo Inácio;2016;5;-226.968.843;-517.909.886;Av. Raposo Tavares, 972, Santo Inácio - PR, 86650-000, Brazil
241;663;2258919;-282.910.748.191.667;-5.463.788.670.420.870;PSF 1 CAIBATE;AV SANTA LUCIA;1492;CENTRO;;97930000.0;RS;Caibaté;2016;5;-282.926.722;-5.463.742.269.999.990;R. Santa Lúcia, Caibaté - RS, 97930-000, Brazil
247;465;16780;-254.211.401.939.385;-493.610.358.238.206;UMS UNIAO DAS VILAS;RUA INDEPENDENCIA;71;SAO BRAZ;(41)33701582;82315060.0;PR;Curitiba;2016;5;-254.208.956;-49.360.667;R. da Independência, 71 - São Braz, Curitiba - PR, 81020-490, Brazil
248;769;5526000;-25.695.999.999.999.900;-51.66;PSF POSTO DE SAUDE VILA CALDAS;RUA ORQUIZA CALDAS LIMA;6;VILA CALDAS;(42)36772629;85170000.0;PR;Pinhão;2016;5;-25.704.838;-5.164.457;Rua Orquiza Caldas de Lima, 6 - Pinhao, Pinhão - PR, 85170-000, Brazil
251;499;2228874;-29.989.414.215.087;-51.061.170.101.164.200;UBS CEDRO ALVORADA;RUA PORTO ALEGRE;1200;CEDRO;(51)4832577;94828540.0;RS;Alvorada;2016;5;-299.896.619;-510.603.562;R. Pôrto Alegre, 1200 - Maria Regina, Alvorada - RS, 94824-310, Brazil
268;567;2672367;-267.551.636.695.854;-4.867.801.666.259.620;CENTRO DE SAUDE OSORIO DOMINGOS CORREA;RUA JOSE BAHIA DE BITTENCOURT;S/N;CENTRO;(47)3454527;88380000.0;SC;Balneário Piçarras;2016;5;-267.556.318;-4.867.931.979.999.990;R. Dr. José Bahia Bitencourt, Balneário Piçarras - SC, 88380-000, Brazil
284;760;2742969;-25.307;-52.541.000.000.000.000;;;;;;;PR;Nova Laranjeiras;2016;5;-25.215.352;-525.745.556;Nova Laranjeiras - State of Paraná, Brazil
299;539;2418215;-276.897.477.584.618;-487.802.399.213.721;UNIDADE BASICA DE SAUDE JOAO VOGES;RUA JOAO JACINTO MACHADO;69;SUL DO RIO;(48)32451311;88140000.0;SC;Santo Amaro da Imperatriz;2016;5;-27.691.323;-487.767.002;R. João Jacinto Machado, 69 - Sul do Rio, Santo Amaro da Imperatriz - SC, 88140-000, Brazil
305;412;7539371;-2.509.045;-5.015.729;UNIDADE DE SAUDE ALFREDO LEVANDOVSKI;RUA GENERAL ALDO BONDE;S/N;CONTORNO;42-32365024;84060170.0;PR;Ponta Grossa;2016;5;-251.177.787;-502.011.317;Av. Gen. Aldo Bonde - Contorno, Ponta Grossa - PR, 84043-560, Brazil
310;516;2234564;-27.897.901.771.155.700;-53.300.741.903.967.700;ESF IX E X FUNHPAM;RUA NASSIB NASSIF;S/N;WESTPHALEN;(55)37424015;98300000.0;RS;Palmeira das Missões;2016;5;-278.978.231;-5.330.141.159.999.990;Av. Nassib Nassif, Palmeira das MissõEs - RS, 98300-000, Brazil
342;826;7806345;-27.370.404.837.115.800;-5.276.467.859.745.020;UNIDADE BASICA DE SAUDE BAIRRO CANELLES;RUA TUPARANDI;1;CANELLES;;99600000.0;RS;Nonoai;2016;5;-2.737.093;-527.647.212;R. Tuparendi, 1, Nonoai - RS, 99600-000, Brazil
344;1137;2554038;-256.263.927.557.656;-506.812.544.333.183;CENTRO DE SAUDE DE REBOUCAS;RUA PRESIDENTE VARGAS;65;CENTRO;(42)34571380;84550000.0;PR;Rebouças;2016;5;-256.242.011;-5.069.526.510.000.000;R. Pres. Vargas, 65, Rebouças - PR, 84550-000, Brazil
372;1130;2418231;-276.897.477.584.618;-487.802.399.213.721;UNIDADE BASICA DE SAUDE LUIZ GONZAGA RAMLOW;RUA PRINCESA LEOPOLDINA;0;CALDAS DA IMPERATRIZ;(48)2454356;88140000.0;SC;Santo Amaro da Imperatriz;2016;5;-277.177.157;-488.093.054;R. Princesa Leopoldina, 1320, Santo Amaro da Imperatriz - SC, 88140-000, Brazil
379;1034;2303221;-267.688.610.927.432;-486.475.729.112.698;UNIDADE BASICA DE SAUDE DE GRAVATA;RUA TIMOTEO FLORES;1515;GRAVATA;(47)3427314;88385000.0;SC;Penha;2016;5;-268.115.479;-4.861.256.220.000.000;R. Timóteo Perfeito Flores, 1515 - Gravatá, Penha - SC, 88385-000, Brazil
383;1017;2247232;-297.628.748.416.892;-570.751.976.966.841;ESF 06 SAO JOAO;RUA VENANCIO AIRES;2618;SAO JOAO;5534116277;97502454.0;RS;Uruguaiana;2016;5;-29.762.992;-5.707.517.000.000.000;R. Venâncio Aíres, 2618 - São João, Uruguaiana - RS, 97650-000, Brazil
396;861;7462921;-24.668.091.365.918.600;-494.126.272.184.076;UBS RURAL VEREADOR NOBORU FUJIMOTO;PR092;S/N;BEIRRO DOS CORDEIROS;;83590000.0;PR;Doutor Ulysses;2016;5;-251.836.073;-493.181.312;Rod. PR-092, Km 33, S/n - Bapanduva, Rio Branco do Sul - PR, 83540-000, Brazil
409;1045;5729475;-24.033.449.199.320.900;-520.109.700.317.383;UNIDADE BASICA DE SAUDE JOAO GARCIA VILLAR;RUA COLOMBIA;S/N;VILA NOVA;;86960000.0;PR;Barbosa Ferraz;2016;5;-240.178.351;-520.038.297;R. Colômbia, Barbosa Ferraz - PR, 86960-000, Brazil
418;1775;2226154;-294.214.298.420.034;-51.514.326.527.241;POSTO DE SAUDE SAO PEDRO DA SERRA;AVENIDA DUQUE DE CAXIAS;1585;CENTRO;(51) 36451174;95758000.0;RS;São Pedro da Serra;2016;5;-227.862.985;-433.053.106;Duque de Caxias, State of Rio de Janeiro, Brazil
430;1931;2648903;-27.067.914.799.999.900;-53.164.001.500.000.000;UNIDADE BASICA DE SAUDE IRMANDO SCHAPPO;RUA PARANA;372;BAGATINI;(49)36471204;89887000.0;SC;Palmitos;2016;5;-270.607.711;-531.613.362;R. Paraná, 372 - Santa Terezinha, Palmitos - SC, 89887-000, Brazil
432;1949;13951;-254.390.224;-49.500.428.899.999.900;UNIDADE DE SAUDE FAZENDINHA;ESTRADA DE BATEIAS;S/N;FAZENDINHA;(41)3292-7546;83648990.0;PR;Campo Largo;2016;5;-254.193.277;-495.030.442;Estr. de Bateias - Fazendinha, Campo Largo - PR, Brazil
436;1653;5939038;-23.805;-53.684;UAPSF MARLI SAILA MONTANA DO LAGO ALBUQUERQUE;RUA ARAUJO LIMA;1375;CENTRO;4436368345;87540000.0;PR;Pérola;2016;5;-238.029.524;-536.795.525;R. Araújo Lima, 1261 - Centro, Pérola - PR, 87540-000, Brazil
446;1918;21431;-25.765.102.485;-497.185.958.084.251;CENTRO SOCIAL RURAL AGUA AZUL;AGUA AZUL;S/N;ZONA RURAL;(41)35478000;83770970.0;PR;Lapa;2016;5;-258.164.464;-5.014.399;Água Azul, Lapa - PR, 83750-000, Brazil
451;2052;7421303;-262.770.234.071.335;-493.766.891.956.329;UNIDADE BASICA SERRA ALTA 10;RUA MAURO REGIS;1;SERRA ALTA;;89292165.0;SC;São Bento do Sul;2016;5;-262.750.358;-493.935.256;Serra Alta, São Bento do Sul - SC, Brazil
